#<---ÐÐ¡¢ÁÐ¡¢Í¼Æ¬Â·¾¶¡¢Í¼¿é¿í¡¢Í¼¿é¸ß---->
14,25,image/map/0_64.png,32,32
#<---µÚÈý¹ØÕÚ¸Ç²ã--->
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,29,29,29,29,29,29,29,29,29,0,29,29,29,29,29,29,29,0,0,0,
0,0,0,0,29,29,0,0,0,0,0,0,0,29,29,29,0,0,0,29,0,29,0,0,0,
0,0,0,0,0,29,0,0,0,0,0,0,0,29,0,0,0,29,29,29,29,29,29,0,0,
0,0,0,0,29,29,0,0,0,0,0,0,0,29,29,0,0,0,0,29,0,29,0,0,0,
0,0,0,0,0,29,0,29,0,0,0,0,29,29,0,0,0,0,0,0,0,29,29,0,0,
0,0,0,0,29,29,29,29,29,0,0,0,0,29,0,0,0,0,0,0,0,29,0,0,0,
0,0,0,0,0,29,0,29,0,0,0,29,29,29,0,0,0,0,0,0,0,29,29,0,0,
0,0,0,0,29,29,29,29,29,29,29,29,0,29,29,29,29,29,29,29,29,29,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
